Name,Author,User Rating,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,8,2016,Non Fiction
11/22/63: A Novel,Stephen King,4.6,22,2011,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,15,2018,Non Fiction
1984 (Signet Classics),George Orwell,4.7,6,2017,Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,11,2011,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,30,2014,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,15,2017,Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,8,2017,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,2,2010,Non Fiction
A Stolen Life: A Memoir,Jaycee Dugard,4.6,32,2011,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5,2018,Fiction
Alexander Hamilton,Ron Chernow,4.8,13,2016,Non Fiction
All the Light We Cannot See,Anthony Doerr,4.6,14,2015,Fiction
Allegiant,Veronica Roth,3.9,13,2013,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4.3,13,2013,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9,2017,Non Fiction
Baby Touch and Feel: Animals,DK,4.6,5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,11,2015,Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,24,2012,Non Fiction
Becoming,Michelle Obama,4.8,11,2018,Non Fiction
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,13,2016,Non Fiction
Born to Run,Bruce Springsteen,4.7,18,2016,Non Fiction
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,4,2016,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,18,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,28,2014,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,11,2010,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,16,2016,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,14,2009,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,8,2018,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4,2015,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,5,2015,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,11,2010,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,5,2015,Fiction
Decision Points,George W. Bush,4.6,17,2010,Non Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,15,2009,Fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,22,2014,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,5,2019,Non Fiction
Divergent,Veronica Roth,4.6,15,2013,Fiction
Divergent / Insurgent,Veronica Roth,4.5,6,2014,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,6,2018,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,8,2017,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,4,2018,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,8,2019,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,8,2019,Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,6,2018,Fiction
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,20,2016,Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,5,2015,Non Fiction
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,16,2010,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,1,2009,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,7,2009,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,18,2009,Fiction
Educated: A Memoir,Tara Westover,4.7,15,2018,Non Fiction
Fahrenheit 451,Ray Bradbury,4.6,8,2018,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,15,2016,Fiction
Fear: Trump in the White House,Bob Woodward,4.4,2,2018,Non Fiction
Fifty Shades Darker,E L James,4.4,7,2012,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,11,2012,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,14,2013,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,32,2012,Fiction
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,6,2018,Non Fiction
First 100 Words,Roger Priddy,4.7,4,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,9,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,0,2014,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5,2011,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,20,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,16,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,4,2019,Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,19,2015,Fiction
Go the F**k to Sleep,Adam Mansbach,4.8,9,2011,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,6,2009,Non Fiction
Gone Girl,Gillian Flynn,4,9,2014,Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,14,2009,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,5,2019,Fiction
Harry Potter Coloring Book,Scholastic,4.7,9,2015,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,52,2016,Fiction
Have a Little Faith: A True Story,Mitch Albom,4.8,4,2009,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,10,2011,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,14,2017,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,22,2018,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,11,2014,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,16,2019,Non Fiction
Humans of New York,Brandon Stanton,4.8,15,2013,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,8,2016,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,0,2014,Fiction
Joyland (Hard Case Crime),Stephen King,4.5,12,2013,Fiction
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,17,2017,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,12,2013,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,25,2012,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10,2011,Non Fiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,6,2014,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5,2015,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,6,2016,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,8,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,4,2013,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,4,2017,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,21,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,6,2018,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,15,2009,Non Fiction
Life,Keith Richards,4.5,18,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,10,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,0,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,12,2018,Fiction
Looking for Alaska,John Green,4.5,7,2014,Fiction
Love You Forever,Robert Munsch,4.8,5,2015,Fiction
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,16,2018,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,20,2014,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,11,2017,Non Fiction
Milk and Honey,Rupi Kaur,4.7,8,2018,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,6,2017,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,10,2014,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,8,2012,Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,11,2019,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,10,2009,Fiction
Night (Night),Elie Wiesel,4.7,9,2016,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,14,2012,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,22,2017,Non Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,7,2015,Fiction
Olive Kitteridge,Elizabeth Strout,4.2,12,2009,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,13,2012,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,13,2017,Fiction
Orphan Train,Christina Baker Kline,4.6,11,2014,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,20,2009,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,5,2019,Non Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,2,2010,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,27,2017,Fiction
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,9,2016,Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,10,2013,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4,2017,Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,20,2012,Non Fiction
Ready Player One: A Novel,Ernest Cline,4.6,12,2018,Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,12,2013,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,12,2014,Fiction
Steve Jobs,Walter Isaacson,4.6,20,2012,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,6,2019,Fiction
StrengthsFinder 2.0,Gallup,4,17,2017,Non Fiction
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,13,2010,Non Fiction
Sycamore Row (Jake Brigance),John Grisham,4.5,18,2013,Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,20,2010,Non Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,22,2011,Non Fiction
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,28,2010,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,16,2017,Non Fiction
The Alchemist,Paulo Coelho,4.7,39,2014,Fiction
The Amateur,Edward Klein,4.6,9,2012,Non Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,10,2011,Fiction
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,17,2010,Non Fiction
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,11,2014,Fiction
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,53,2009,Non Fiction
The Book Thief,Markus Zusak,4.6,6,2013,Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,12,2015,Non Fiction
The Casual Vacancy,J.K. Rowling,3.3,12,2012,Fiction
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,21,2011,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,6,2018,Non Fiction
The Confession: A Novel,John Grisham,4.3,13,2010,Fiction
The Constitution of the United States,Delegates of the Constitutional,4.8,0,2016,Non Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,11,2010,Non Fiction
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,9,2010,Fiction
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,16,2009,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,2,2009,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,7,2014,Fiction
The Guardians: A Novel,John Grisham,4.5,14,2019,Fiction
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,10,2009,Fiction
The Handmaid's Tale,Margaret Atwood,4.3,7,2017,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,13,2012,Fiction
The Hate U Give,Angie Thomas,4.8,11,2018,Fiction
The Help,Kathryn Stockett,4.8,6,2009,Fiction
The Hunger Games,Suzanne Collins,4.7,14,2010,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,8,2011,Fiction
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,30,2012,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,13,2010,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7,2018,Non Fiction
The Last Lecture,Randy Pausch,4.7,9,2009,Non Fiction
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,20,2013,Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,13,2011,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,11,2019,Non Fiction
The Litigators,John Grisham,4.4,18,2011,Fiction
The Martian,Andy Weir,4.7,9,2015,Fiction
The Maze Runner (Book 1),James Dashner,4.5,8,2014,Fiction
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,8,2018,Fiction
The Mueller Report,The Washington Post,4.6,12,2019,Non Fiction
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,0,2010,Fiction
The Silent Patient,Alex Michaelides,4.5,14,2019,Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,15,2017,Non Fiction
The Sun and Her Flowers,Rupi Kaur,4.7,9,2017,Non Fiction
The Time Traveler's Wife,Audrey Niffenegger,4.4,6,2009,Fiction
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,9,2009,Non Fiction
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,10,2019,Non Fiction
The Twilight Saga Collection,Stephenie Meyer,4.7,82,2009,Fiction
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,10,2019,Non Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,5,2013,Fiction
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,16,2017,Non Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,10,2016,Fiction
The Wonky Donkey,Craig Smith,4.8,4,2019,Fiction
The Wright Brothers,David McCullough,4.7,16,2015,Non Fiction
Thirteen Reasons Why,Jay Asher,4.5,9,2017,Fiction
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,23,2012,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,11,2009,Non Fiction
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,23,2017,Non Fiction
Tina Fey: Bossypants,Tina Fey,4.3,12,2011,Non Fiction
To Kill a Mockingbird,Harper Lee,4.8,0,2013,Fiction
When Breath Becomes Air,Paul Kalanithi,4.8,14,2016,Non Fiction
Where the Crawdads Sing,Delia Owens,4.8,15,2019,Fiction
Where the Wild Things Are,Maurice Sendak,4.8,13,2009,Fiction
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,12,2018,Non Fiction
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,18,2012,Non Fiction
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,15,2012,Fiction
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,11,2010,Non Fiction
Wonder,R. J. Palacio,4.8,9,2013,Fiction
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,8,2019,Fiction
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,8,2019,Non Fiction
